Date,Close
03-03-2015,384.61
03-04-2015,382.72
03-05-2015,387.83
03-06-2015,380.09
03-09-2015,378.56
03-10-2015,369.51
03-11-2015,366.37
03-12-2015,374.24
03-13-2015,370.58
03-16-2015,373.35
03-17-2015,371.92
03-18-2015,375.14
03-19-2015,373.24
03-20-2015,378.49
03-23-2015,375.11
03-24-2015,374.09
03-25-2015,370.96
03-26-2015,367.35
03-27-2015,370.56
03-30-2015,374.59
03-31-2015,372.1
04-01-2015,370.26
04-02-2015,372.25
04-06-2015,377.04
04-07-2015,374.41
04-08-2015,381.2
04-09-2015,383.54
04-10-2015,382.65
04-13-2015,382.36
04-14-2015,385.11
04-15-2015,383.45
04-16-2015,386.04
04-17-2015,375.56
04-20-2015,389.51
04-21-2015,391.18
04-22-2015,389.8
04-23-2015,389.99
04-24-2015,445.1
04-27-2015,438.56
04-28-2015,429.31
04-29-2015,429.37
04-30-2015,421.78
05-01-2015,422.87
05-04-2015,423.04
05-05-2015,421.19
05-06-2015,419.1
05-07-2015,426.88
05-08-2015,433.69
05-11-2015,432.85
05-12-2015,431.02
05-13-2015,426.87
05-14-2015,432.28
05-15-2015,426
05-18-2015,425.24
05-19-2015,421.71
05-20-2015,423.86
05-21-2015,431.63
05-22-2015,427.63
05-26-2015,425.47
05-27-2015,431.42
05-28-2015,426.57
05-29-2015,429.23
06-01-2015,430.92
06-02-2015,430.99
06-03-2015,436.59
06-04-2015,430.78
06-05-2015,426.95
06-08-2015,423.5
06-09-2015,425.48
06-10-2015,430.77
06-11-2015,432.97
06-12-2015,429.92
06-15-2015,423.67
06-16-2015,427.26
06-17-2015,427.81
06-18-2015,439.39
06-19-2015,434.92
06-22-2015,436.29
06-23-2015,445.99
06-24-2015,440.84
06-25-2015,440.1
06-26-2015,438.1
06-29-2015,429.86
06-30-2015,434.09
07-01-2015,437.39
07-02-2015,437.71
07-06-2015,436.04
07-07-2015,436.72
07-08-2015,429.7
07-09-2015,434.39
07-10-2015,443.51
07-13-2015,455.57
07-14-2015,465.57
07-15-2015,461.19
07-16-2015,475.48
07-17-2015,483.01
07-20-2015,488.1
07-21-2015,488
07-22-2015,488.27
07-23-2015,482.18
07-24-2015,529.42
07-27-2015,531.41
07-28-2015,526.03
07-29-2015,529
07-30-2015,536.76
07-31-2015,536.15
08-03-2015,535.03
08-04-2015,531.9
08-05-2015,537.01
08-06-2015,529.46
08-07-2015,522.62
08-10-2015,524
08-11-2015,527.46
08-12-2015,525.91
08-13-2015,529.66
08-14-2015,531.52
08-17-2015,535.22
08-18-2015,535.02
08-19-2015,532.92
08-20-2015,515.78
08-21-2015,494.47
08-24-2015,463.37
08-25-2015,466.37
08-26-2015,500.77
08-27-2015,518.37
08-28-2015,518.01
08-31-2015,512.89
09-01-2015,496.54
09-02-2015,510.55
09-03-2015,504.72
09-04-2015,499
09-08-2015,517.54
09-09-2015,516.89
09-10-2015,522.24
09-11-2015,529.44
09-14-2015,521.38
09-15-2015,522.37
09-16-2015,527.39
09-17-2015,538.87
09-18-2015,540.26
09-21-2015,548.39
09-22-2015,538.4
09-23-2015,536.07
09-24-2015,533.75
09-25-2015,524.25
09-28-2015,504.06
09-29-2015,496.07
09-30-2015,511.89
10-01-2015,520.72
10-02-2015,532.54
10-05-2015,543.68
10-06-2015,537.48
10-07-2015,541.94
10-08-2015,533.16
10-09-2015,539.8
10-12-2015,550.19
10-13-2015,548.9
10-14-2015,544.83
10-15-2015,562.44
10-16-2015,570.76
10-19-2015,573.15
10-20-2015,560.88
10-21-2015,555.77
10-22-2015,563.91
10-23-2015,599.03
10-26-2015,608.61
10-27-2015,611.01
10-28-2015,617.1
10-29-2015,626.55
10-30-2015,625.9
11-02-2015,628.35
11-03-2015,625.31
11-04-2015,640.95
11-05-2015,655.65
11-06-2015,659.37
11-09-2015,655.49
11-10-2015,659.68
11-11-2015,673.25
11-12-2015,665.6
11-13-2015,642.35
11-16-2015,647.81
11-17-2015,643.3
11-18-2015,663.54
11-19-2015,661.27
11-20-2015,668.45
11-23-2015,678.99
11-24-2015,671.15
11-25-2015,675.34
11-27-2015,673.26
11-30-2015,664.8
12-01-2015,679.06
12-02-2015,676.01
12-03-2015,666.25
12-04-2015,672.64
12-07-2015,669.83
12-08-2015,677.33
12-09-2015,664.79
12-10-2015,662.32
12-11-2015,640.15
12-14-2015,657.91
12-15-2015,658.64
12-16-2015,675.77
12-17-2015,670.65
12-18-2015,664.14
12-21-2015,664.51
12-22-2015,663.15
12-23-2015,663.7
12-24-2015,662.79
12-28-2015,675.2
12-29-2015,693.97
12-30-2015,689.07
12-31-2015,675.89
01-04-2016,636.99
01-05-2016,633.79
01-06-2016,632.65
01-07-2016,607.94
01-08-2016,607.05
01-11-2016,617.74
01-12-2016,617.89
01-13-2016,581.81
01-14-2016,593
01-15-2016,570.18
01-19-2016,574.48
01-20-2016,571.77
01-21-2016,575.02
01-22-2016,596.38
01-25-2016,596.53
01-26-2016,601.25
01-27-2016,583.35
01-28-2016,635.35
01-29-2016,587
02-01-2016,574.81
02-02-2016,552.1
02-03-2016,531.07
02-04-2016,536.26
02-05-2016,502.13
02-08-2016,488.1
02-09-2016,482.07
02-10-2016,490.48
02-11-2016,503.82
02-12-2016,507.08
02-16-2016,521.1
02-17-2016,534.1
02-18-2016,525
02-19-2016,534.9
02-22-2016,559.5
02-23-2016,552.94
02-24-2016,554.04
02-25-2016,555.15
02-26-2016,555.23
02-29-2016,552.52
03-01-2016,579.04
03-02-2016,580.21
03-03-2016,577.49
03-04-2016,575.14
03-07-2016,562.8
03-08-2016,560.26
03-09-2016,559.47
03-10-2016,558.93
03-11-2016,569.61
03-14-2016,573.37
03-15-2016,577.02
03-16-2016,574.27
03-17-2016,559.44
