Date,Close
03-03-2015,39.91
03-04-2015,40.49
03-05-2015,40.13
03-06-2015,38.78
03-09-2015,38.18
03-10-2015,38.06
03-11-2015,38.75
03-12-2015,38.21
03-13-2015,37.74
03-16-2015,39.14
03-17-2015,38.95
03-18-2015,40.14
03-19-2015,39.13
03-20-2015,39.62
03-23-2015,39.93
03-24-2015,40.34
03-25-2015,38.86
03-26-2015,38.08
03-27-2015,37
03-30-2015,38.11
03-31-2015,37.75
04-01-2015,37.52
04-02-2015,38.2
04-06-2015,40.62
04-07-2015,40.65
04-08-2015,41.53
04-09-2015,42.02
04-10-2015,42.18
04-13-2015,41.96
04-14-2015,41.49
04-15-2015,41.57
04-16-2015,41.34
04-17-2015,41.36
04-20-2015,41.05
04-21-2015,41.88
04-22-2015,43.89
04-23-2015,43.72
04-24-2015,43.69
04-27-2015,46.31
04-28-2015,46.1
04-29-2015,46.49
04-30-2015,45.21
05-01-2015,45.21
05-04-2015,46.1
05-05-2015,46.59
05-06-2015,46.09
05-07-2015,47.36
05-08-2015,47.32
05-11-2015,47.9
05-12-2015,48.95
05-13-2015,48.64
05-14-2015,48.82
05-15-2015,49.77
05-18-2015,49.75
05-19-2015,49.43
05-20-2015,48.87
05-21-2015,49.12
05-22-2015,49.55
05-26-2015,49.49
05-27-2015,49.49
05-28-2015,50.29
05-29-2015,50.16
06-01-2015,49.89
06-02-2015,49.67
06-03-2015,49.8
06-04-2015,49.18
06-05-2015,49.83
06-08-2015,51.26
06-09-2015,51.2
06-10-2015,50.14
06-11-2015,50.28
06-12-2015,50.14
06-15-2015,50.08
06-16-2015,50.62
06-17-2015,52.08
06-18-2015,52.38
06-19-2015,52.5
06-22-2015,51.96
06-23-2015,53.53
06-24-2015,53.03
06-25-2015,53.76
06-26-2015,53.42
06-29-2015,52.4
06-30-2015,53.65
07-01-2015,53.83
07-02-2015,56
07-06-2015,55.94
07-07-2015,53.58
07-08-2015,50.99
07-09-2015,51.58
07-10-2015,51.83
07-13-2015,52.43
07-14-2015,53.13
07-15-2015,52.63
07-16-2015,53.34
07-17-2015,54.93
07-20-2015,56.45
07-21-2015,53.35
07-22-2015,53.57
07-23-2015,53.44
07-24-2015,53.08
07-27-2015,50.6
07-28-2015,52.96
07-29-2015,52.76
07-30-2015,53.36
07-31-2015,53.23
08-03-2015,52
08-04-2015,53.26
08-05-2015,54.03
08-06-2015,49.23
08-07-2015,48.5
08-10-2015,48.23
08-11-2015,47.47
08-12-2015,47.63
08-13-2015,48.5
08-14-2015,48.63
08-17-2015,51
08-18-2015,52.14
08-19-2015,51.05
08-20-2015,48.44
08-21-2015,46.15
08-24-2015,43.77
08-25-2015,44.01
08-26-2015,44.97
08-27-2015,48.6
08-28-2015,49.7
08-31-2015,49.81
09-01-2015,47.73
09-02-2015,49.54
09-03-2015,49.11
